TANZANIA FIVE YEAR CROP PLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRODUCTION,,,2018,,,,,2019,,,,,,,,,,,,2020,,,,,,,,,,,,2021,,,,,,,,,,,,2022,,,,,,,,,,,,2023,,,,,,,,,,,
UNIT,Red Kuri,HECTARES,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
,E,1.55,,,Garlic,Garlic,Garlic,Garlic,,,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,Pepper,Pepper,Pepper,Pepper,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,Pepper,Pepper,Pepper,,,onions,onions,onions,onions,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Pepper,Pepper,Pepper,,,onions,onions,onions,onions,Beans,Beans,Beans,,,
,F,1.88,,,Garlic,Garlic,Garlic,Garlic, , ,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,Pepper,Pepper,Pepper,Pepper,Avocado,Avocado,Butternut,Butternut,Butternut,Beans,Beans,Beans,Pepper,Pepper,Pepper,Avocado,Avocado,onions,onions,onions,onions,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,Avocado,Avocado,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Pepper,Pepper,Pepper,,,onions,onions,onions,onions,Beans,Beans,Beans, , , 
,G,0.88,,,Garlic,Garlic,Garlic,Garlic,,,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,Pepper,Pepper,Pepper,Pepper,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,Pepper,Pepper,Pepper,,,onions,onions,onions,onions,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Pepper,Pepper,Pepper,,,onions,onions,onions,onions,Beans,Beans,Beans,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A,0.14,,,Pepper,Pepper,Pepper,Green Manure,Green Manure,onions,onions,onions,onions,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,Green Manure,Green Manure,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,Green Manure,Green Manure,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,Pepper,Pepper,Pepper,Pepper,Green Manure,Green Manure,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,Green Manure,Green Manure,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,,,
,B,0.50,,,Pepper,Pepper,Pepper,,,onions,onions,onions,onions,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,Pepper,Pepper,Pepper,Pepper,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,,,
,C,0.85,,,Pepper,Pepper,Pepper,,,onions,onions,onions,onions,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,Pepper,Pepper,Pepper,Pepper,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,,,
,D,1.20,,,Pepper,Pepper,Pepper,,,onions,onions,onions,onions,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,Pepper,Pepper,Pepper,Pepper,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,,,
,E,1.55,,,Pepper,Pepper,Pepper,,,onions,onions,onions,onions,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,Pepper,Pepper,Pepper,Pepper,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,,,
,F,1.88,,,Pepper,Pepper,Pepper,Pepper, ,onions,onions,onions,onions,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,Moringa,Moringa,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,Moringa,Moringa,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,Pepper,Pepper,Pepper,Pepper,Moringa,Moringa,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans, , , 
,G,0.88,,,Pepper,Pepper,Pepper,Pepper,,onions,onions,onions,onions,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,Pepper,Pepper,Pepper,Pepper,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A,0.14,,,Garlic,Garlic,Garlic,Garlic,Green Manure,Green Manure,W/melon,W/melon,W/melon,Beans,Beans,Beans,onions,onions,onions,onions,Green Manure,Green Manure,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,W/melon,W/melon,W/melon,Green Manure,Green Manure,onions,onions,onions,onions,Beans,Beans,Beans,Butternut,Butternut,Butternut,Green Manure,Green Manure,Pepper,Pepper,Pepper,Pepper,Beans,Beans,Beans,W/melon,W/melon,W/melon,Green Manure,Green Manure,Onion,Onion,Onion,Onion,Beans,Beans,Beans,,,
,B,0.50,,,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,onions,onions,onions,onions,,,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,W/melon,W/melon,W/melon,,,onions,onions,onions,onions,Beans,Beans,Beans,Butternut,Butternut,Butternut,,,Pepper,Pepper,Pepper,Pepper,Beans,Beans,Beans,W/melon,W/melon,W/melon,,,Onion,Onion,Onion,Onion,Beans,Beans,Beans,,,
,C,0.85,,,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,onions,onions,onions,onions,,,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,W/melon,W/melon,W/melon,,,onions,onions,onions,onions,Beans,Beans,Beans,Butternut,Butternut,Butternut,,,Pepper,Pepper,Pepper,Pepper,Beans,Beans,Beans,W/melon,W/melon,W/melon,,,Onion,Onion,Onion,Onion,Beans,Beans,Beans,,,
,D,1.20,,,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,onions,onions,onions,onions,,,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,W/melon,W/melon,W/melon,,,onions,onions,onions,onions,Beans,Beans,Beans,Butternut,Butternut,Butternut,,,Pepper,Pepper,Pepper,Pepper,Beans,Beans,Beans,W/melon,W/melon,W/melon,,,Onion,Onion,Onion,Onion,Beans,Beans,Beans,,,
,E,1.55,,,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,onions,onions,onions,onions,,,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,W/melon,W/melon,W/melon,,,onions,onions,onions,onions,Beans,Beans,Beans,Butternut,Butternut,Butternut,,,Pepper,Pepper,Pepper,Pepper,Beans,Beans,Beans,W/melon,W/melon,W/melon,,,Onion,Onion,Onion,Onion,Beans,Beans,Beans,,,
,F,1.88,,,Garlic,Garlic,Garlic,Garlic,Moringa,Moringa,W/melon,W/melon,W/melon,Beans,Beans,Beans,onions,onions,onions,onions,Moringa,Moringa,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,W/melon,W/melon,W/melon,Moringa,Moringa,onions,onions,onions,onions,Beans,Beans,Beans,Butternut,Butternut,Butternut,Moringa,Moringa,Pepper,Pepper,Pepper,Pepper,Beans,Beans,Beans,W/melon,W/melon,W/melon,,,onions,onions,onions,onions,Beans,Beans,Beans, , , 
,G,0.88,,,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,onions,onions,onions,onions,,,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,W/melon,W/melon,W/melon,,,onions,onions,onions,onions,Beans,Beans,Beans,Butternut,Butternut,Butternut,,,Pepper,Pepper,Pepper,Pepper,Beans,Beans,Beans,W/melon,W/melon,W/melon,,,onions,onions,onions,onions,Beans,Beans,Beans,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A,0.14,,,W/melon,W/melon,W/melon,Green Manure,Green Manure,onions,onions,onions,onions,Beans,Beans,Beans,Butternut,Butternut,Butternut,Green Manure,Green Manure,Pepper,Pepper,Pepper,Pepper,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,Green Manure,Green Manure,W/melon,W/melon,W/melon,Beans,Beans,Beans,onions,onions,onions,onions,Green Manure,Green Manure,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,Green Manure,Green Manure,W/melon,W/melon,W/melon,Beans,Beans,Beans,,,
,B,0.50,,,W/melon,W/melon,W/melon,,,onions,onions,onions,onions,Beans,Beans,Beans,Butternut,Butternut,Butternut,,,Pepper,Pepper,Pepper,Pepper,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,onions,onions,onions,onions,,,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,,,
,C,0.85,,,W/melon,W/melon,W/melon,,,onions,onions,onions,onions,Beans,Beans,Beans,Butternut,Butternut,Butternut,,,Pepper,Pepper,Pepper,Pepper,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,onions,onions,onions,onions,,,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,,,
,D,1.20,,,W/melon,W/melon,W/melon,,,onions,onions,onions,onions,Beans,Beans,Beans,Butternut,Butternut,Butternut,,,Pepper,Pepper,Pepper,Pepper,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,onions,onions,onions,onions,,,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,,,
,E,1.55,,,W/melon,W/melon,W/melon,,,onions,onions,onions,onions,Beans,Beans,Beans,Butternut,Butternut,Butternut,,,Pepper,Pepper,Pepper,Pepper,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,onions,onions,onions,onions,,,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,,,
,F,1.88,,,W/melon,W/melon,W/melon,Moringa,Moringa,onions,onions,onions,onions,Beans,Beans,Beans,Butternut,Butternut,Butternut,Moringa,Moringa,Pepper,Pepper,Pepper,Pepper,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,Moringa,Moringa,W/melon,W/melon,W/melon,Beans,Beans,Beans,onions,onions,onions,onions,Moringa,Moringa,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans, , , 
,G,0.88,,,W/melon,W/melon,W/melon,,,onions,onions,onions,onions,Beans,Beans,Beans,Butternut,Butternut,Butternut,,,Pepper,Pepper,Pepper,Pepper,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,onions,onions,onions,onions,,,Red Kuri,Red Kuri,Red Kuri,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,0.14,,,onions,onions,onions,onions,Green Manure,Green Manure,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,Green Manure,Green Manure,W/melon,W/melon,W/melon,Beans,Beans,Beans,Pepper,Pepper,Pepper,Green Manure,Green Manure,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,Green Manure,Green Manure,onions,onions,onions,onions,Beans,Beans,Beans,Pepper,Pepper,Pepper,Green Manure,Green Manure,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,,,
,B,0.50,,,onions,onions,onions,onions,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,Pepper,Pepper,Pepper,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,,,onions,onions,onions,onions,Beans,Beans,Beans,Pepper,Pepper,Pepper,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,,,
,C,0.85,,,onions,onions,onions,onions,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,Pepper,Pepper,Pepper,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,,,onions,onions,onions,onions,Beans,Beans,Beans,Pepper,Pepper,Pepper,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,,,
,D,1.20,,,onions,onions,onions,onions,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,Pepper,Pepper,Pepper,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,,,onions,onions,onions,onions,Beans,Beans,Beans,Pepper,Pepper,Pepper,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,,,
,E,1.55,,,onions,onions,onions,onions,,,Butternut,Butternut,Butternut,Beans,Beans,Beans,Garlic,Garlic,Garlic,Garlic,,,W/melon,W/melon,W/melon,Beans,Beans,Beans,Pepper,Pepper,Pepper,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,Red Kuri,Red Kuri,Red Kuri,,,onions,onions,onions,onions,Beans,Beans,Beans,Pepper,Pepper,Pepper,,,Garlic,Garlic,Garlic,Garlic,Beans,Beans,Beans,,,
